菏代ら戳	PSI	夹γ琕	珇借单	SO2	NO2	O3	CO	PM10	NO	NitroOxy	NHHC	HydraCarbon	HydraCarbon2	Temp	PH
2005/1/21	58	腶疊稬采	炊硄	11.1	21.6	21.6	0.53	67	8.3	29.9	0.23	1.98	2.21	16.5	
2005/1/22	82	腶疊稬采	炊硄	10.6	23.8	26.4	0.62	114	9.1	33	0.33	1.93	2.26	17.9	
2005/1/23	74	腶疊稬采	炊硄	10.5	22.2	29.5	0.79	98	5.9	28.2	0.35	1.98	2.33	19.3	
2005/1/24	72	腶疊稬采	炊硄	12	27.6	28.1	0.92	95	8.9	36.5	0.46	1.97	2.43	20.1	
2005/1/25	58	腶疊稬采	炊硄	11.3	24.7	21.6	0.83	66	11.7	36.4	0.51	1.92	2.43	21.8	
2005/1/26	64	腶疊稬采	炊硄	10.6	23.2	20	0.66	79	11.6	34.7	0.38	1.98	2.36	20	
2005/1/27	80	腶疊稬采	炊硄	9.9	23.5	23.1	0.69	110	9.4	32.9	0.38	1.91	2.29	20.1	
2005/1/28	86	腶疊稬采	炊硄	10.2	26.3	9.7	0.7	123	17.7	44	0.46	1.93	2.38	18.5	
2005/1/29	66	腶疊稬采	炊硄	8.8	22.3	8.8	0.54	82	10.4	32.7	0.31	1.81	2.12	19.4	
2005/1/30	70	腶疊稬采	炊硄	8.6	17.1	9.7	0.55	89	7.9	25	0.25	1.79	2.04	17.7	
2005/1/31	65	腶疊稬采	炊硄	10.4	20.8	6	0.38	80	12.5	33.3	0.3	1.85	2.15	14.8	
2005/2/1	76	腶疊稬采	炊硄	12	23.8	13.6	0.61	101	6.2	30	0.31	1.83	2.13	14.3	
2005/2/2	90	腶疊稬采	炊硄	15.6	33.5	13.6	0.79	131	17.6	51.2	0.47	1.92	2.38	15.4	
2005/2/3	77	腶疊稬采	炊硄	14.4	31.6	17.5	0.72	104	18.9	50.4	0.49	1.89	2.37	16.7	
2005/2/4	84	腶疊稬采	炊硄	14	32	18.7	0.84	118	18.1	50.2	0.58	1.96	2.54	20	
2005/2/5	100	腶疊稬采	炊硄	13.8	34	18.2	0.9	151	23.5	57.5	0.59	2.03	2.62	19.8	
2005/2/6	96	腶疊稬采	炊硄	12.3	27.6	17.5	0.83	141	14.9	42.5	0.44	1.95	2.38	20.8	
2005/2/7	83	腶疊稬采	炊硄	12.2	27.9	21.5	0.95	116	17.5	45.4	0.53	2.13	2.67	23.1	
2005/2/8	74	腶疊稬采	炊硄	8.6	18.1	15.3	0.61	98	8.4	26.5	0.25	1.98	2.24	20.3	
2005/2/9	67	腶疊稬采	炊硄	7.4	13.3	12.4	0.56	84	8.9	22.2	0.17	1.89	2.07	18.8	
2005/2/10	76	腶疊稬采	炊硄	7.8	12.5	13.2	0.63	101	10.4	22.9	0.18	1.93	2.11	18.8	
2005/2/11	51	腶疊稬采	炊硄	7.8	10.6	12.4	0.44	52	3.7	14.3	0.13	1.82	1.95	17.3	
2005/2/12	52	腶疊稬采	炊硄	8.2	11	*	0.37	53	4.8	15.8	0.13	1.78	1.91	17.5	
2005/2/13	55	腶疊稬采	炊硄	7.9	12.2	*	0.41	60	6.5	18.7	0.16	1.83	1.99	17.8	
2005/2/14	64	腶疊稬采	炊硄	8.7	16.5	*	0.59	78	6.2	22.7	0.27	1.85	2.12	19.2	
2005/2/15	70	腶疊稬采	炊硄	11.9	21.3	13.4*	0.68	90	16.7	38	0.41	1.92	2.33	23.2	
2005/2/16	67		炊硄	13.3	19.5	25.2	0.79	61	21.3	40.8	0.54	1.96	2.49	25	
2005/2/17	76	腶疊稬采	炊硄	10.9	25	24.4	0.82	101	15.2	40.2	0.47	2	2.47	23.6	
2005/2/18	55	腶疊稬采	炊硄	9.4	24	10.1	0.69	60	14.1	38.1	0.36	1.94	2.31	19.6	
2005/2/19	41	腶疊稬采	▆	7.9	13.2	21	0.55	41	5.9	19.1	0.2	1.81	2.02	12.9	
2005/2/20	48	腶疊稬采	▆	7.3	16.9	16.8	0.47	48	7.2	24.2	0.19	1.8	1.99	9.1	
2005/2/21	52	腶疊稬采	炊硄	10	27	5.7	0.69	55	22.4	49.4	0.42	1.9	2.31	11.3	
2005/2/22	54	腶疊稬采	炊硄	10.2	26.6	13	0.64	57	16.9	43.5	0.41	1.87	2.28	15.6	
2005/2/23	82	腶疊稬采	炊硄	13.4	31.2	35.2	0.96	113	16.1	47.3	0.53	1.98	2.51	20	
2005/2/24	62	腶疊稬采	炊硄	11	17.9	28	0.66	73	5.9	23.9	0.3	1.85	2.15	23.3	
2005/2/25	64	腶疊稬采	炊硄	9.1	26.8	14.5	0.8	79	8.8	35.7	0.45	1.93	2.38	20.8	
2005/2/26	55	腶疊稬采	炊硄	8.2	18.7	17.7	0.61	60	5.3	24	0.24	1.86	2.1	17.3	
2005/2/27	47	腶疊稬采	▆	8.7	15.8	22	0.44	47	5.5	21.2	0.17	1.83	2	16.7	
2005/2/28	34	腶疊稬采	▆	7.2	13.2	19	0.35	34	6	19.1	0.17	1.8	1.96	14.4	
2005/3/1	57	腶疊稬采	炊硄	10.1	23.5	11.9	0.57	64	7.8	31.2	0.35	1.85	2.2	15.1	
2005/3/2	58	腶疊稬采	炊硄	8.3	23.1	13.2	0.6	67	9.4	32.4	0.39	1.83	2.22	16.4	
2005/3/3	35		▆	7.3	11.8	33.2	0.4	32	6.3	18.1	0.17	1.76	1.93	13.4	
2005/3/4	70	腶疊稬采	炊硄	11.7	21.6	27	0.5	90	7.2	28.8	0.28	1.78	2.06	12.5	
2005/3/5	68	腶疊稬采	炊硄	8.9	13	38.3	0.38	85	5.1	18.1	0.18	1.76	1.95	11.8	
2005/3/6	66	腶疊稬采	炊硄	11	21.1	33.6	0.45	83	6.6	27.6	0.25	1.78	2.03	13	
2005/3/7	80	腶疊稬采	炊硄	11.2	31.9	31.7	0.74	110	8.7	40.6	0.45	1.87	2.32	15.6	
2005/3/8	82	腶疊稬采	炊硄	12.6	33.7	38	0.77	113	9.9	43.6	0.55	1.89	2.44	17.7	
2005/3/9	88	腶疊稬采	炊硄	13.7	36.8	31.7	0.82	127	11.9	48.8	0.57	2.08	2.65	21.3	
2005/3/10	62	腶疊稬采	炊硄	12.8	22.2	20.5	0.62	74	10.7	32.9	0.32	1.86	2.18	23.3	
2005/3/11	56	腶疊稬采	炊硄	10.1	18.4	18.4	0.64	61	13.6	31.9	0.39	1.89	2.27	23.5	
2005/3/12	50	腶疊稬采	▆	10.9	17.1	15.4	0.49	50	8.2	25.4	0.22	1.86	2.08	15.5	
2005/3/13	56	腶疊稬采	炊硄	9.4	15.1	20.1	0.47	62	6.1	21.2	0.18	1.82	1.99	9.7	
2005/3/14	74	腶疊稬采	炊硄	11.6	25.3	26.7	0.7	97	9.9	35.3	0.35	1.88	2.23	13.8	
2005/3/15	100	腶疊稬采	炊硄	14.6	33.5	34.1	0.88	150	8.8	42.3	0.51	1.96	2.46	19	
2005/3/16	102	腶疊稬采	ぃ▆	11.6	38.8	37.3	1.06	154	12.6	51.4	0.67	2.11	2.78	21.5	
2005/3/17	74	腶疊稬采	炊硄	11.9	23	31.7	0.76	97	14.6	37.6	0.47	2	2.47	22.8	
2005/3/18	118	腶疊稬采	ぃ▆	9.9	17.8	31.9	0.57	185	5.8	23.5	0.26	1.86	2.12	19.3	
2005/3/19	86	腶疊稬采	炊硄	11	23.2	33	0.25	122	4.8	28.1	0.31	1.9	2.2	18.6	
2005/3/20	78	腶疊稬采	炊硄	9.5	14.3	41.4	0.47	105	6.8	21.1	0.2	1.88	2.08	19.9	
2005/3/21	88	腶疊稬采	炊硄	10.6	22.3	31.8	0.58	127	5.6	27.9	0.33	1.91	2.23	21	
2005/3/22	68		炊硄	13.3	18.5	19.6	0.58	86	8.3	26.8	0.43	1.81	2.25	24.8	
2005/3/23	64	腶疊稬采	炊硄	8.8	11.7	32.7	0.48	77	6.8	18.6	0.21	1.78	1.99	22.2	
2005/3/24	102	腶疊稬采	ぃ▆	13.2	23.7	41.4	0.68	153	5.8	29.6	0.3	1.87	2.17	18.8	
2005/3/25	86	腶疊稬采	炊硄	12.6	24.6	36	0.61	123	6.9	31.6	0.32	1.88	2.2	18.7	
2005/3/26	94	腶疊稬采	炊硄	14.7	35.7	32.3	0.75	138	7.6	43.3	0.43	1.95	2.38	20.7	
2005/3/27	76	腶疊稬采	炊硄	11.4	27.7	20.6	0.69	102	9.3	37	0.36	1.93	2.29	23.8	
2005/3/28	38	腶疊稬采	▆	9.5	27.6	13	0.73	38	16.7	44.4	0.49	1.83	2.32	24.6	
2005/3/29	62	腶疊稬采	炊硄	9.5	34.3	28.1	0.53	75	6.1	40.4	0.25	1.83	2.08	23.3	
2005/3/30	56	腶疊稬采	炊硄	9.3	36.3	26.4	0.58	63	6.4	42.7	0.32	1.87	2.19	19.1	
2005/3/31	49		▆	8.4	27.1	24.5	0.53	39	9.2	36.2	0.31	1.87	2.18	19.8	
2005/4/1	61	腶疊稬采	炊硄	9.2	27.6	24.7	0.53	72	5.4	33	0.29	1.88	2.17	21.3	
2005/4/2	59	腶疊稬采	炊硄	8.8	21.3	27.2	0.46	68	5.7	27	0.21	1.85	2.06	21.3	
2005/4/3	64	腶疊稬采	炊硄	12	23.9	40.8	0.49	79	5.3	29.2	0.18	1.86	2.04	22.1	
2005/4/4	106	腶疊稬采	ぃ▆	12.7	25.4	46.3	0.64	162	6.6	32	0.26	1.92	2.18	21.2	
2005/4/5	76	腶疊稬采	炊硄	11.9	24.6	39.3	0.56	103	6.7	31.2	0.27	1.91	2.18	21.7	
2005/4/6	76	腶疊稬采	炊硄	14.5	32.1	32.3	0.72	103	5.4	37.5	0.39	1.94	2.33	23.4	
2005/4/7	59	腶疊稬采	炊硄	9.7	16.1	27.7	0.47	68	5	21.1	0.22	1.82	2.04	25.3	
2005/4/8	54	腶疊稬采	炊硄	8.9	13.2	22.7	0.39	58	6.9	20.1	0.14	1.8	1.94	26	
2005/4/9	49	腶疊稬采	▆	9.3	9.6	19.5	0.33	49	6.8	16.4	0.11	1.75	1.85	26.5	
2005/4/10	48	腶疊稬采	▆	10.3	11.7	18.6	0.39	48	8.1	19.7	0.16	1.78	1.94	26.7	
2005/4/11	66	腶疊稬采	炊硄	10.5	17.5	29.5	0.56	81	5.3	22.9	0.23	1.87	2.1	25.6	
2005/4/12	78	腶疊稬采	炊硄	11.8	25	17.4	0.59	107	7.8	32.8	0.29	2.02	2.31	25.2	
2005/4/13	58	腶疊稬采	炊硄	9.8	26.6	15.1	0.85	66	7.4	34	0.25	1.97	2.22	19.1	
2005/4/14	78	腶疊稬采	炊硄	15.8	43.2	9.2	1.45	107	16.2	59.5	0.76	2.09	2.85	20.7	
2005/4/15	94		炊硄	16.9	28.1	51.2	1.02	119	10.9	39	0.38	2.02	2.4	24.5	
2005/4/16	91		炊硄	13	22	55.6	0.83	122	4.2	26.2	0.23	2.02	2.25	25.5	
2005/4/17	76	腶疊稬采	炊硄	11.1	15	53.4	0.63	101	3.3	18.3	0.12	1.98	2.1	25.8	
2005/4/18	81	腶疊稬采	炊硄	9.8	16.4	40.1	0.65	112	4.1	20.5	0.13	1.97	2.1	25.6	
2005/4/19	63	腶疊稬采	炊硄	11	15.4	35.5	0.61	76	5.2	20.6	0.18	1.97	2.16	26.4	
2005/4/20	51	腶疊稬采	炊硄	10.8	17	29.3	0.66	52	6.3	23.3	0.22	1.96	2.18	26.7	
2005/4/21	74	腶疊稬采	炊硄	11.5	22.6	32.5	0.79	98	7.5	30.1	0.3	2.09	2.38	26.9	
2005/4/22	64	腶疊稬采	炊硄	12.1	17.2	32	0.65	77	6.1	23.3	0.21	1.95	2.16	27.2	
2005/4/23	58	腶疊稬采	炊硄	10.6	12.2	16.8	0.41	65	8	20.1	0.12	1.84	1.96	27.6	
2005/4/24	60	腶疊稬采	炊硄	10.5	14.8	29.5	0.53	70	5.3	20.1	0.1	2	2.1	26	
2005/4/25	66	腶疊稬采	炊硄	10.1	15.1	36.6	0.55	82	5	20.1	0.17	1.95	2.13	26.1	
2005/4/26	63		炊硄	9.9	22.7	38.8	0.7	54	5.1	27.8	0.29	2.04	2.32	24.5	
2005/4/27	52	腶疊稬采	炊硄	8.7	17.8	40.3	0.52	53	2.7	20.6	0.25	2.01	2.26	25.1	
2005/4/28	47		▆	10.2	15.3	24.9	0.5	47	7	22.3	0.17	1.97	2.13	26.1	
2005/4/29	44	腶疊稬采	▆	8.8	13.3	17.3	0.43	44	7.5	20.8	0.17	1.96	2.13	27.1	
2005/4/30	34	腶疊稬采	▆	8.9	11.2	16.4	0.38	34	7.9	19.1	0.15	1.86	2.01	28.1	
2005/5/1	30	腶疊稬采	▆	8.2	11.2	16.6	0.36	30	7.1	18.4	0.14	1.92	2.05	28.2	
2005/5/2	34	腶疊稬采	▆	7.7	7.9	15	0.3	34	4.6	12.5	0.09	1.85	1.94	27.8	
2005/5/3	40	腶疊稬采	▆	7.7	7.2	17.9	0.36	40	4.5	11.7	0.12	1.83	1.94	27.9	
2005/5/4	42	腶疊稬采	▆	7.8	7.3	24.7	0.3	42	5.9	13.2	0.09	1.79	1.87	28	
2005/5/5	53	腶疊稬采	炊硄	11.1	16	18.2	0.41	56	9.5	25.5	0.17	1.96	2.13	28.8	
2005/5/6	44	腶疊稬采	▆	10.6	23.6	15.8	0.66	44	11.3	34.9	0.29	1.92	2.21	25.9	
2005/5/7	62		炊硄	9.9	15.1	36.2	0.46	27	4.8	19.9	0.14	1.9	2.03	27	
2005/5/8	38		▆	9.5	15.5	29.7	0.5	35	4.7	20.2	0.13	1.95	2.07	26.7	
2005/5/9	43		▆	7.2	11.1	30.1	0.37	21	6.1	17.2	0.11	1.85	1.96	27.1	
2005/5/10	26	腶疊稬采	▆	8.8	25.2	13.5	0.65	26	12.6	37.8	0.34	2.01	2.35	23.7	
2005/5/11	46		▆	9.9	16.5	29.8	0.41	25	3.3	19.8	0.25	1.83	2.08	26.2	
2005/5/12	29	腶疊稬采	▆	11.7	15.7	15.6	0.44	29	7.1	22.8	0.21	1.86	2.07	27.4	
2005/5/13	19	腶疊稬采	▆	8	10.9	13	0.38	19	8.3	19.2	0.14	1.8	1.94	27.7	
2005/5/14	30	腶疊稬采	▆	9.9	11.8	15.5	0.39	30	10.3	22.1	0.18	1.9	2.08	28.8	
2005/5/15	26		▆	8.2	10.1	18.1	0.34	24	7.3	17.4	0.1	1.81	1.91	29.4	
2005/5/16	25		▆	7.4	7.6	17.6	0.3	25	4.7	12.3	0.14	1.76	1.9	29.6	
2005/5/17	28		▆	9.1	10.7	16.8	0.31	24	6.6	17.3	0.14	1.81	1.94	29.3	
2005/5/18	23	腶疊稬采	▆	7.3	8.7	16.3	0.28	23	5.1	13.8	0.1	1.71	1.82	29.5	
2005/5/19	56		炊硄	8.4	12.6	34.3	0.44	41	4.3	16.9	0.14	1.83	1.98	29.3	
2005/5/20	99		炊硄	11.8	15.6	53.7	0.67	86	5.8	21.4	0.21	1.91	2.12	28	
2005/5/21	79		炊硄	11.1	17.5	41.7	0.61	74	6.8	24.3	0.2	1.97	2.17	27.9	
2005/5/22	41	腶疊稬采	▆	9.3	12.1	29.2	0.38	41	2.4	14.5	0.13	1.8	1.92	28.9	
2005/5/23	44		▆	8	12.4	22.3	0.38	31	4.6	17	0.13	1.8	1.93	29.2	
2005/5/24	35		▆	8.9	15.9	20.8	0.46	31	7.7	23.6	0.22	1.81	2.03	27.5	
2005/5/25	68		炊硄	9.8	18.8	37.5	0.53	42	6.9	25.7	0.22	1.93	2.14	27.4	
2005/5/26	75		炊硄	9.9	12.8	50.9	0.47	50	5.5	18.4	0.15	1.91	2.07	27.7	
2005/5/27	78		炊硄	10	14.2	40.7	0.44	46	3	17.1	0.15	1.86	2.02	28.3	
2005/5/28	64		炊硄	9.5	17.1	40	0.52	44	5.7	22.8	0.19	1.9	2.09	28	
2005/5/29	61		炊硄	9	16.7	36.3	0.44	51	4.2	20.9	0.13	1.91	2.04	28.3	
2005/5/30	74		炊硄	9.8	15	38.7	0.43	54	7.2	22.2	0.14	1.94	2.08	28.3	
2005/5/31	43		▆	5.6	11	41.2	0.38	34	3	14	0.13	1.8	1.93	27.9	
2005/6/1	34		▆	3.9	10.9	25.6	0.33	22	2.9	13.8	0.12	1.83	1.95	27.9	
2005/6/2	24	腶疊稬采	▆	4.1	19.7	13.7	0.55	24	4.8	24.5	0.26*	1.83*	2.09*	26.4	
2005/6/3	17		▆	4.1	21.2	9.2	0.66	15	8.8	30	0.33	1.83	2.16	25.6	
2005/6/4	63		炊硄	5.3	21.1	30.5	0.59	35	6.5	27.6	0.28	1.89	2.17	26.6	
2005/6/5	66		炊硄	4.1	16.8	49.8	0.61	59	3.2	20	0.19	1.92	2.1	26.6	
2005/6/6	117		ぃ▆	6	13.8	63.9	0.6	74	3	16.8	0.22	1.93	2.15	28.1	
2005/6/7	74		炊硄	5.2	15*	60.7	0.44	59	2.4*	17.4*	0.15	1.89	2.04	28	
2005/6/8	87		炊硄	5.5	13.9	57.6	0.48	65	2.6	16.5	0.19	1.93	2.12	28.1	
2005/6/9	94		炊硄	9.6	17.6	61.6	0.57	82	4.9	22.5	0.22	1.9	2.12	28.7	
2005/6/10	33	腶疊稬采	▆	4.6	11.6	24	0.35	33	3	14.6	0.12	1.79	1.91	28.7	
2005/6/11	32		▆	3.2	10.9	24.7	0.29	22	2.6	13.5	0.1	1.73	1.83	28	
2005/6/12	26		▆	2.4	11.3*	23.3	0.25	20	1.4*	12.7*	0.05	1.73	1.78	26.6	
2005/6/13	29		▆	1.7	10.8	24.7	0.33	18	3.8	14.6	0.11	1.74	1.84	25.8	
2005/6/14	27		▆	0.5	7	23.1	0.24	13	5.8	12.8	0.1*	1.7*	1.8*	25.8	
2005/6/15	32		▆	0.6	6.6	27.5	0.25	21	3.2	9.8	0.08	1.72	1.8	25.9	
2005/6/16	33		▆	2.7	16.8	19.2	0.55	21	6.9	23.7	0.28	1.82	2.1	24.8	
2005/6/17	74		炊硄	2.5	18.3	25.9	0.67	30	5.3	23.6	0.36	1.82	2.18	26.9	
2005/6/18	27	腶疊稬采	▆	5.1*	10.5	14	0.32	27	3.6	14.1	0.12	1.78	1.9	28.5	
2005/6/19	30	腶疊稬采	▆	*	9.2	13.5	0.35	30	6	15.2	0.14	1.81	1.95	28.4	
2005/6/20	28	腶疊稬采	▆	*	8.9	11.5	0.44	28	9.3	18.2	0.21	1.86	2.07	28.4	
2005/6/21	23	腶疊稬采	▆	*	10.6	11	0.37	23	6.9	17.5	0.15	1.78	1.93	27.8	
2005/6/22	28	腶疊稬采	▆	4.5*	12	11.6	0.38	28	7.3	19.4	0.16	1.83	1.99	28	
2005/6/23	23		▆	4.5	10.9	12.1	0.34	23	8.6	19.5	0.13	1.76	1.89	28	
2005/6/24	23	腶疊稬采	▆	4.3	13.4	8.5	0.57	23	16	29.4	0.3	1.83	2.13	26.4	
2005/6/25	40		▆	5.9	11.7	16	0.41	22	12.9	24.5	0.19	1.79	1.98	27.1	
2005/6/26	26		▆	7.9	9.8	18.6	0.23	21	5.3	15.1	0.14*	1.82*	1.96*	28.8	
2005/6/27	20		▆	*	6.8	17.2	0.22	17	3.9	10.7	0.07	1.72	1.79	29.3	
2005/6/28	27	腶疊稬采	▆	6.7*	17.1	9.7	0.61	27	13.5	30.6	0.39	1.86	2.25	25.6	
2005/6/29	37		▆	7.1	17.8	12.1	0.55	33	10.7	28.5	0.29	1.85	2.14	27.1	
2005/6/30	39	腶疊稬采	▆	4.8	12.8	10.5	0.42	39	5.7	18.5	0.21	1.83	2.04	29.1	
2005/7/1	67		炊硄	4.3	13.3	32.9	0.39	51	2.7	16	0.16	1.86	2.02	29.5	
2005/7/2	60	腶疊稬采	炊硄	5.4	11.8	26.6	0.33	70	2.9	14.7	0.11	1.8	1.91	30.1	
2005/7/3	55		炊硄	4	8.7	18	0.22	40	3.3	12	0.05	1.76	1.81	30	
2005/7/4	38		▆	3.4	5.6	14.9	0.23	33	4.3	9.8	0.11	1.77	1.89	29.5	
2005/7/5	45		▆	7.2	10.3	16.9	0.28	42	5.8	16.1	0.23	1.87	2.09	29.6	
2005/7/6	75		炊硄	7.2	12.5	21.7	0.34	45	3.6	16.2	0.23	1.84	2.07	30.2	
2005/7/7	27	腶疊稬采	▆	5	9.4	17.8	0.26	27	4.6	14	0.2	1.8	2	29.6	
2005/7/8	28	腶疊稬采	▆	7.1	10.8	16.9	0.27	28	7.9	18.7	0.2	1.78	1.98	29.6	
2005/7/9	29	腶疊稬采	▆	6.3	10.8	16.4	0.28	29	4.3	15.1	0.16	1.87	2.04	29.8	
2005/7/10	37	腶疊稬采	▆	4.4	8.2	13.4	0.25	37	6.4	14.7	0.11	1.86	1.96	29.7	
2005/7/11	31	腶疊稬采	▆	5.8	8.2	9.1	0.24	31	9.2	17.4	0.13	1.78	1.91	30.2	
2005/7/12	31	腶疊稬采	▆	5.8	5.9	13	0.19	31	7.9	13.8	0.15	1.76	1.91	30.1	
2005/7/13	29	腶疊稬采	▆	4.1	6.3	13.3	0.24	29	4.4	10.7	0.17	1.75	1.92	30.1	
2005/7/14	35	腶疊稬采	▆	5.6	10.5	12.1	0.32	35	5.4	15.9	0.22	1.74	1.96	29.6	
2005/7/15	45		▆	6.2	10.7	22.3	0.35	34	5.1	15.8	0.23	1.74	1.97	30.2	
2005/7/16	54		炊硄	6.1	11.9	28.8	0.32	52	4.5	16.5	0.22	1.76	1.98	30.6	
2005/7/17	56	腶疊稬采	炊硄	6.1	11.3	22.5	0.33	62	5	16.3	0.18	1.78	1.97	28.8	
2005/7/18	41	腶疊稬采	▆	1.8	1.4	23.6	0.08	41	2.5	3.9	0.05	1.66	1.71	25.9	
2005/7/19	52	腶疊稬采	炊硄	2.2	5	32.7	0.22	54	4	9	0.14	1.68	1.82	26.4	
2005/7/20	37		▆	2.8	12.9	31.9	0.35	22	5.5	18.4	0.22	1.76	1.98	24.8	
2005/7/21	43		▆	5.1	19.1	31.5	0.64	31	4.7	23.8	0.42	1.84	2.26	25.3	
2005/7/22	41	腶疊稬采	▆	6	17.4	19.1	0.64	41	5	22.4	0.47	1.81	2.27	28.2	
2005/7/23	83		炊硄	6.5	15.4	39.1	0.54	46	5	20.4	0.37	1.84	2.21	28.7	
2005/7/24	61		炊硄	5.3	9.6	42.2	0.4	55	2	11.6	0.28	1.76	2.04	28.5	
2005/7/25	115		ぃ▆	5.3	11.6	55	0.39	55	3.4	15	0.28	1.76	2.04	28.4	
2005/7/26	56		炊硄	5.3	7.5	38.5	0.31	52	4.9	12.4	0.23	1.74	1.97	28.6	
2005/7/27	54		炊硄	5.8	11.8	23.7	0.35	53	6.7	18.5	0.3	1.72	2.02	29.6	
2005/7/28	69		炊硄	6.2	17.2	31.4	0.53	70	6	23.2	0.37	1.82	2.18	29.5	
2005/7/29	106		ぃ▆	9.5	25.9	35.1	0.8	83	4.3	30.2	0.49	1.88	2.37	28.5	
2005/7/30	47	腶疊稬采	▆	7.6	13.2	14.4	0.37	47	5.1	18.3	0.24	1.7	1.94	29.6	
2005/7/31	76		炊硄	7.3	15.8	24.6	0.49	60	5.3	21.1	0.29	1.75	2.04	29.6	
2005/8/1	48		▆	4.5	9	22.5	0.35	46	3.8	12.8	0.21	1.67	1.87	29.8	
2005/8/2	54	腶疊稬采	炊硄	7.1	9.2	14.6	0.3	58	6.8	16.1	0.24	1.72	1.96	29.9	
2005/8/3	54	腶疊稬采	炊硄	5	7.2	28.5	0.27	59	2.3	9.5	0.17	1.64	1.81	30	
2005/8/4	42	腶疊稬采	▆	2.4	5.2	17.8	0.24	42	4.6	9.8	0.18	1.6	1.77	29.5	
2005/8/5	58	腶疊稬采	炊硄	3.9	5.7	39	0.26	65	4.5	10.2	0.15	1.61	1.76	29.2	
2005/8/6	51	腶疊稬采	炊硄	2.2	4.4	29.8	0.22	52	6.7	11.1	0.12	1.56	1.68	30	
2005/8/7	34	腶疊稬采	▆	3.4	6.6	17.9	0.26	34	5	11.6	0.15	1.6	1.75	29.4	
2005/8/8	44		▆	6.9	12.5	20.2	0.36	37	4.9	17.4	0.23	1.6	1.83	29.4	
2005/8/9	76		炊硄	4.8	14.4	29.9	0.44	54	4.6	18.9	0.44	1.73	2.17	30.3	
2005/8/10	69		炊硄	5.4	15.1	29.2	0.42	53	3.9	18.9	0.3	1.68	1.98	29.8	
2005/8/11	60	腶疊稬采	炊硄	6.4	12.8	34.1	0.42	69	2.8	15.7	0.29	1.62	1.91	30.2	
2005/8/12	61		炊硄	8	19.3	19.4	0.53	64	6.7	25.9	0.39	1.65	2.04	28.2	
2005/8/13	33	腶疊稬采	▆	4.1	8.8*	16.6	0.21	33	1.6*	10.4*	0.17	1.5	1.67	27.1	
2005/8/14	34	腶疊稬采	▆	6.1	17.1*	11.1	0.4	34	5.1*	22.1*	0.25	1.58	1.83	26.6	
2005/8/15	34	腶疊稬采	▆	6.5	15	11.9	0.46	34	7.8	22.8	0.29	1.59	1.88	26.9	
2005/8/16	50		▆	6.5	16.7	24.2	0.54	40	6.4	23.2	0.27	1.72	1.99	26.9	
