ºÊ´ú¤é´Á	PSI	«ü¼Ð¦Ã¬Vª«	ªÅ®ð«~½èµ¥¯Å	SO2	NO2	O3	CO	PM10	NO	NitroOxy	NHHC	HydraCarbon	HydraCarbon2	Temp	PH
2007/1/28	96	Äa¯B·L²É	´¶³q	7.9	14.4	45.1	0.48	142	1	15.4	0.12	1.64	1.75	14.8	
2007/1/29	100	Äa¯B·L²É	´¶³q	9.5	28.6	37.6	0.69	150	4.2	32.8	0.28	1.72	2	13.6	
2007/1/30	98	Äa¯B·L²É	´¶³q	7.5	33.6	34	0.75	145	7	40.6	0.39	1.73	2.13	15.4	
2007/1/31	94	Äa¯B·L²É	´¶³q	7	31.3	39.9	0.74	138	4.2	35.5	0.34	1.71	2.05	16.1	
2007/2/1	122	Äa¯B·L²É	¤£¨}	8.6	28.6	36.5	0.75	195	4.9	33.5	0.28	1.69	1.97	15.5	
2007/2/2	78	Äa¯B·L²É	´¶³q	7.2	22.1	36	0.52	107	3.6	25.7	0.22	1.64	1.86	14.2	
2007/2/3	66	¯ä®ñ	´¶³q	6.6*	33.3*	40.2*	0.71*	111*	3.5*	36.8*	0.4*	1.64*	2.04*	17.2	
2007/2/4	73	Äa¯B·L²É	´¶³q	4.8	32.2	28.4	0.68	96	6.4	38.7	0.31	1.69	2	16.4	
2007/2/5	79	Äa¯B·L²É	´¶³q	6.9	40.5	25.4	0.85	108	14.4	54.9	0.47	1.78	2.25	19.5	
2007/2/6	102	¯ä®ñ	¤£¨}	6.2	38.6	36.4	0.86	88	5.5	44.1	0.58	1.78	2.36	21.1	
2007/2/7	80	¯ä®ñ	´¶³q	6.8	36.5	32.7	0.85	87	12.1	48.5	0.56	1.92	2.48	21.4	
2007/2/8	141	¯ä®ñ	¤£¨}	7.2	36.8	58.9	0.98	109*	11.3	48.1	0.63	1.87	2.49	22.5	
2007/2/9	76	Äa¯B·L²É	´¶³q	4.4	34.4	41.2	0.88	103	2.6	37	0.55	1.78	2.33	22.5	
2007/2/10	76	Äa¯B·L²É	´¶³q	4.5	21.4	35.5	0.68	102	2.2	23.6	0.23	1.67	1.9	20.9	
2007/2/11	86	Äa¯B·L²É	´¶³q	7.5	23.1	34.8	0.89	122	3.4	26.4	0.25	1.81	2.06	19	
2007/2/12	88	Äa¯B·L²É	´¶³q	7.1	28.2	37.9	0.9	125	7.4	35.6	0.35	1.8	2.15	21	
2007/2/13	79	¯ä®ñ	´¶³q	7.1	25.1	43.1	0.81	92	5.2	30.3	0.38	1.68	2.06	23.1	
2007/2/14	53	Äa¯B·L²É	´¶³q	4.7	20.1	28.4	0.64	56	6.4	26.5	0.44*	1.69*	2.13*	22.5	
2007/2/15	74	Äa¯B·L²É	´¶³q	6	26	29.3	0.71	99	4.3	30.3	*	*	*	20.1	
2007/2/16	79	¯ä®ñ	´¶³q	6	25	29.6	0.7	86	4.5	29.5	*	*	*	23	
2007/2/17	48	Äa¯B·L²É	¨}¦n	5.3	15.6	24.6	0.43	48	3.6	19.3	*	*	*	24.5	
2007/2/18	49	Äa¯B·L²É	¨}¦n	2.6	11.7	27.8	0.4	49	1.5	13.2	*	*	*	24	
2007/2/19	63	¯ä®ñ	´¶³q	2.8	17.6	30	0.54	55	2.2	19.8	*	*	*	22.1	
2007/2/20	56	¯ä®ñ	´¶³q	3.6	16.1	36.7	0.48	53	1.5	17.6	*	*	*	22.1	
2007/2/21	52	Äa¯B·L²É	´¶³q	3.6	14.9	38	0.49	53	1.6	16.5	*	*	*	21.4	
2007/2/22	56	¯ä®ñ	´¶³q	3	19.4	30.7	0.62	54	2	21.4	0.12*	1.78*	1.9*	21	
2007/2/23	76	¯ä®ñ	´¶³q	3.8	20.4	39	0.68	68	3.4	23.7	0.19	1.61	1.8	21.6	
2007/2/24	67	¯ä®ñ	´¶³q	4.6	14.4	48.8	0.53	76	1.1	15.5	0.15	1.63	1.78	22.2	
2007/2/25	56	Äa¯B·L²É	´¶³q	2.7	14.9	38.2	0.49	61	1.4	16.3	0.13	1.71	1.84	20.1	
2007/2/26	68	¯ä®ñ	´¶³q	4.1	18.9	41.1	0.59	67	2.2	21.1	0.22	1.8	2.02	18.7	
2007/2/27	75	¯ä®ñ	´¶³q	4.4	25	41	0.66	82	6.7	31.7	0.35	1.85	2.19	20.3	
2007/2/28	60	Äa¯B·L²É	´¶³q	4.1	20.6	35.6	0.5	70	4	24.6	0.24	1.86	2.1	21.4	
2007/3/1	76	¯ä®ñ	´¶³q	3.1	18.3	44.9	0.52	75	1.5	19.7	0.23	1.72	1.95	22.1	
2007/3/2	91	¯ä®ñ	´¶³q	4.7	25	40.8	0.69	85	5.7	30.7	0.35	1.9	2.26	23.1	
2007/3/3	97	¯ä®ñ	´¶³q	4.1	26.5	52.8	0.8	96	3.7	30.3	0.44	1.98	2.42	23.2	
2007/3/4	71	Äa¯B·L²É	´¶³q	6.1	18.4	30.6	0.6	92	1.7	20.1	0.26	1.87	2.12	25.1	
2007/3/5	54	Äa¯B·L²É	´¶³q	5	19.4	27.8	0.73	58	2.3	21.7	0.23	1.93	2.16	22.2	
2007/3/6	57	Äa¯B·L²É	´¶³q	4.3	18.8	24.2	0.62	64	2.3	21.1	0.22	1.9	2.11	15.4	
2007/3/7	41	Äa¯B·L²É	¨}¦n	3.5	28.4	8.7	0.63	41	10.3	38.7	0.37	1.99	2.36	14.3	
2007/3/8	48	Äa¯B·L²É	¨}¦n	4.6	31	14.9	0.72	48	10.8	41.9	0.39	1.97	2.36	17.7	
2007/3/9	58	¯ä®ñ	´¶³q	4.9	28.6	25.7	0.71	54	10.9	39.5	0.38	1.97	2.35	20.1	
2007/3/10	70	¯ä®ñ	´¶³q	5.8	29.3	34.7	0.81	82	13.3	42.6	0.41	1.89	2.29	21.1	
2007/3/11	75	Äa¯B·L²É	´¶³q	3.9	18.3	37.4	0.62	100	2.3	20.6	0.18	1.73	1.91	20.6	
2007/3/12	60	Äa¯B·L²É	´¶³q	4.8	24.7	30.2	0.65	71	3.7	28.4	0.25	1.76	2.01	20.6	
2007/3/13	57	¯ä®ñ	´¶³q	3.5	21.2	36.7	0.6	60	2.6	23.8	0.26	1.73	1.99	22.1	
2007/3/14	68	¯ä®ñ	´¶³q	6.5	27.4	34.6	0.75	78	5.5	32.9	0.35	1.8	2.15	23.4	
2007/3/15	56	Äa¯B·L²É	´¶³q	5.1	23.9	23.9	0.71	63	5	28.9	0.35	1.69	2.04	25	
2007/3/16	68	¯ä®ñ	´¶³q	2.8	19.3	38	0.59	63	2.2	21.5	0.27	1.73	2	23.9	
2007/3/17	64	¯ä®ñ	´¶³q	3.9	19.9	39.3	0.51	78	1.9	21.8	0.19	1.73	1.92	21.4	
2007/3/18	64	Äa¯B·L²É	´¶³q	4.6	26.7	21	0.57	78	2.2	28.9	0.2	1.81	2.01	19	
2007/3/19	54	Äa¯B·L²É	´¶³q	3.7	23.6	24	0.59	58	4	27.5	0.24	1.76	2	18.7	
2007/3/20	49	Äa¯B·L²É	¨}¦n	3.3	17.6	36	0.49	49	1.7	19.4	0.18	1.76	1.94	17.3	
2007/3/21	66	¯ä®ñ	´¶³q	4	23.4	39.9	0.64	70	4.1	27.4	0.29	1.81	2.1	19.8	
2007/3/22	67	Äa¯B·L²É	´¶³q	5.4	31.5	33.5	0.78	84	3.9	35.4	0.41	1.81	2.22	21.6	
2007/3/23	85	¯ä®ñ	´¶³q	4.5	28.9	43.7	0.77	108	1.8	30.7	0.39	1.8	2.19	22.9	
2007/3/24	75	Äa¯B·L²É	´¶³q	6.9	31.7	28.6	0.89	100	5.2	36.9	0.42	1.82	2.24	23.8	
2007/3/25	41	Äa¯B·L²É	¨}¦n	3.9	17.3	29	0.66	41	6.9	24.1	0.3	1.74	2.04	24.8	
2007/3/26	87	¯ä®ñ	´¶³q	5.1	23.5	46	0.8	72	2.1	25.7	0.31	1.81	2.12	26	
2007/3/27	45	Äa¯B·L²É	¨}¦n	4.1	17.6	23.7	0.51	45	3.2	20.8	0.2	1.69	1.88	26.3	
2007/3/28	71	¯ä®ñ	´¶³q	3.9	19.8	36.5	0.65	45	2.7	22.5	0.29	1.84	2.13	25.1	
2007/3/29	52	Äa¯B·L²É	´¶³q	2.8	15.6	34.9	0.44	53	1.4	17	0.21	1.77	1.98	26	
2007/3/30	30	Äa¯B·L²É	¨}¦n	2.9	12.9	22.2	0.37	30	2.4	15.3	0.18	1.68	1.86	26.2	
2007/3/31	25	Äa¯B·L²É	¨}¦n	3.5	9.7	17.5	0.3	25	4.2	13.9	0.14	1.65	1.8	26.3	
2007/4/1	33	¯ä®ñ	¨}¦n	2.7	8.8	25.9	0.32	24	2.2	11	0.1	1.69	1.8	26.1	
2007/4/2	46	Äa¯B·L²É	¨}¦n	4	16	26.8	0.48	46	3.6	19.6	0.23	1.81	2.04	25	
2007/4/3	56	Äa¯B·L²É	´¶³q	2.9	19.4	28.7	0.52	62	2	21.4	0.21	1.86	2.07	16.3	
2007/4/4	52	Äa¯B·L²É	´¶³q	3.2	32.8	18	0.76	54	9	41.8	0.42	2.02	2.44	15.4	
2007/4/5	60	Äa¯B·L²É	´¶³q	5.1	37.2	23.3	0.93	70	7.6	44.8	0.43	2.14	2.57	19.8	
2007/4/6	66	Äa¯B·L²É	´¶³q	4.7	30.3	27.4	0.77	81	4.3	34.5	0.29	2.04	2.33	20.8	
2007/4/7	47	¯ä®ñ	¨}¦n	4	23.1	29.1	0.55	46	1.9	25	0.22	1.97	2.19	20.7	
2007/4/8	52	¯ä®ñ	´¶³q	3.3	17.1	40	0.46	48	0.9	18.1	0.15	1.93	2.07	20	
2007/4/9	68	Äa¯B·L²É	´¶³q	6.8	28.5*	36.6	0.73	87	7.9*	36.4*	0.34	2.06	2.39	21.5	
2007/4/10	75	Äa¯B·L²É	´¶³q	5.5	20.3	45.3	0.67	100	1.3	21.6	0.3	1.95	2.25	21.9	
2007/4/11	95	¯ä®ñ	´¶³q	4.3	18.1	62.7	0.69	68	1.1	19.2	0.26	1.91	2.17	21.6	
2007/4/12	94	Äa¯B·L²É	´¶³q	5.4	25.1	54.5	0.79	137	1.9	27.1	0.38	2.06	2.44	23.7	
2007/4/13	83	¯ä®ñ	´¶³q	4.5	22.2	51.5	0.67	70	1.5	23.6	0.3	1.94	2.23	24.6	
2007/4/14	80	¯ä®ñ	´¶³q	5.3	20	48	0.63	66	1.3	21.4	0.24	1.92	2.16	25.7	
2007/4/15	56	Äa¯B·L²É	´¶³q	3.2	12.2	45.4	0.56	61	0.9	13.1	0.15	1.85	2	25.6	
2007/4/16	64	¯ä®ñ	´¶³q	3.4	11.1	58.7	0.53	72	0.8	11.8	0.14	1.83	1.97	25.9	
2007/4/17	72	¯ä®ñ	´¶³q	4.7	12.8	50.7	0.56	80	0.3	13.1	0.18	1.87	2.05	25.4	
2007/4/18	68	¯ä®ñ	´¶³q	3.1	12.7	55	0.46	36	0.7	13.3	0.14	1.79	1.93	21.5	
2007/4/19	86	¯ä®ñ	´¶³q	4.9	22.1	55.4	0.61	57	1.8	23.9	0.26	1.89	2.15	21.9	
2007/4/20	113	¯ä®ñ	¤£¨}	6.6	22.1	65.1	0.63	75	1	23.1	0.27	1.9	2.17	24.4	
2007/4/21	79	¯ä®ñ	´¶³q	6.6	16.2	57.5	0.58	65	1	17.2	0.22	1.85	2.07	26.8	
2007/4/22	41	Äa¯B·L²É	¨}¦n	3.1	9.8	29.4	0.35	41	1.7	11.5	0.11	1.78	1.89	27.2	
2007/4/23	43	Äa¯B·L²É	¨}¦n	5.1	12.8	24.7	0.44	43	2.8	15.6	0.18	1.81	1.98	28.2	
2007/4/24	56	¯ä®ñ	´¶³q	4	15.9	32.3	0.45	36	1.2	17.2	0.22	1.76	1.98	27.1	
2007/4/25	44	¯ä®ñ	¨}¦n	3.6	15.9	35.7*	0.5	39	1.6	17.5	0.23	1.87	2.11	24.3	
2007/4/26	69	¯ä®ñ	´¶³q	6.3	24.2	64.9*	0.72	83	2.5	26.7	0.36	1.92	2.29	24.7	
2007/4/27	86	¯ä®ñ	´¶³q	5.4	15.3	56.2	0.66	92	1.1	16.5	0.25	1.88	2.13	26.1	
2007/4/28	84	¯ä®ñ	´¶³q	4.7	15.4	51.7	0.58	89	1.6	17	0.19	1.89	2.08	26	
2007/4/29	87	¯ä®ñ	´¶³q	3.9	12.7	54.6	0.54	68	1.2	14	0.16	1.85	2.01	25.6	
2007/4/30	72	¯ä®ñ	´¶³q	6.8*	12.4	32.9	0.45	63	1.5	13.9	0.14	1.77	1.91	27.1	
2007/5/1	56	¯ä®ñ	´¶³q	4.7	17.7	40.3	0.66	52	1.5	19.2	0.24	1.89	2.12	26.1	
2007/5/2	105	¯ä®ñ	¤£¨}	6.7	22.1	65.5	0.96	85	0.9	23.1	0.37	1.97	2.33	26.1	
2007/5/3	115	¯ä®ñ	¤£¨}	5.8	16.3	78.3	0.72	102	0.6	16.9	0.29	1.92	2.22	26.9	
2007/5/4	94	¯ä®ñ	´¶³q	7.4	25.4	60.8	0.75	108	0.6	26	0.35	1.91	2.26	27	
2007/5/5	52	Äa¯B·L²É	´¶³q	3.3	13.7	28.2	0.43	54	0.9	14.5	0.17	1.75	1.93	26.3	
2007/5/6	69	¯ä®ñ	´¶³q	3	8.7	54.8	0.53	24	0.4	9.1	0.14	1.81	1.95	25.2	
2007/5/7	126	¯ä®ñ	¤£¨}	5.1	20.1	70.9	0.87	77	1.2	21.4	0.32	2.02	2.34	26.5	
2007/5/8	91	¯ä®ñ	´¶³q	5	11.7	80.1	0.63	109	0.4	12.1	0.22	1.85	2.07	26.6	
2007/5/9	81	¯ä®ñ	´¶³q	4.3	17.1	62.8	0.66	94	0.9	17.9	0.26	1.87	2.13	26.4	
2007/5/10	153	¯ä®ñ	¤£¨}	5.9	16.9	78.7	0.59	93	1.8	18.7	0.23	1.86	2.09	26.8	
2007/5/11	77	¯ä®ñ	´¶³q	3	7.6	72.7	0.41	83	0.8	8.3	0.11	1.76	1.87	26.7	
2007/5/12	68	¯ä®ñ	´¶³q	2.4	11.1	68.2	0.46	86	2.4	13.4	0.13	1.8	1.93	27	
2007/5/13	94	¯ä®ñ	´¶³q	2.6	11.9	66.9	0.52	99	1.3	13.2	0.14	1.84	1.98	27.4	
2007/5/14	90	Äa¯B·L²É	´¶³q	3	13.4	56	0.62	130	1.6	15	0.19	1.84	2.03	27.5	
2007/5/15	83	¯ä®ñ	´¶³q	3.5	17.4	53.9	0.62	86	0.9	18.4	0.22	1.86	2.08	28.4	
2007/5/16	53	Äa¯B·L²É	´¶³q	3.4	8.9	38.9	0.4	56	1	10	0.12	1.73	1.85	28.2	
2007/5/17	53	¯ä®ñ	´¶³q	2.1	6.8	45.7	0.38	49	1.2	8	0.11	1.7	1.81	27.5	
2007/5/18	78	¯ä®ñ	´¶³q	1.8	6.6	53.8	0.34	61	0.7	7.3	0.09	1.71	1.79	28.1	
2007/5/19	64	¯ä®ñ	´¶³q	3.7	15.3	38.4	0.39	35	1.6	17	0.17	1.75	1.91	26.8	
2007/5/20	41	¯ä®ñ	¨}¦n	1.8	16.4	34.6	0.45	19	1.2	17.6	0.16	1.76	1.92	23.5	
2007/5/21	74	¯ä®ñ	´¶³q	3	13.2	47.6	0.46	19	2.2	15.4	0.2	1.76	1.96	25.6	
2007/5/22	36	¯ä®ñ	¨}¦n	3.1	16.1	27.7	0.41	28	2.1	18.3	0.17	1.77	1.95	26.9	
2007/5/23	55	¯ä®ñ	´¶³q	5.8	15.8	28.4	0.43	35	4	19.9	0.19	1.82	2	28.1	
2007/5/24	54	¯ä®ñ	´¶³q	2.5	9.6	27.7	0.3	33	1.6	11.2	0.09	1.71	1.8	29	
2007/5/25	36	¯ä®ñ	¨}¦n	1.7	8.1	27.4	0.24	36	1.3	9.5	0.1	1.72	1.82	29.4	
2007/5/26	34	¯ä®ñ	¨}¦n	1.6	8.1	28.1	0.26	34	2	10.1	0.07	1.74	1.81	29.5	
2007/5/27	28	¯ä®ñ	¨}¦n	1*	6*	29.4*	0.23*	31*	0.7*	6.7*	0.04*	1.67*	1.71*	29.6	
2007/5/28	30	Äa¯B·L²É	¨}¦n	1.9	10.2	23.3	0.28	30	1.9	12.1	0.11	1.74	1.86	29.4	
2007/5/29	41	¯ä®ñ	¨}¦n	3.5	10.5	25.1	0.29	33	4.5	15	0.14	1.74	1.88	29.2	
2007/5/30	32	¯ä®ñ	¨}¦n	1.5	11	24.4	0.35	21	2.2	13.2	0.18	1.73	1.9	29.3	
2007/5/31	48	¯ä®ñ	¨}¦n	3.1	12.9	31.9	0.32	32	1.1	13.9	0.15	1.73	1.88	29.1	
2007/6/1	40	¯ä®ñ	¨}¦n	0.7	8.6	25.8	0.27	28	1.3	9.9	0.1	1.68	1.78	29.5	
2007/6/2	30	¯ä®ñ	¨}¦n	0.7	7.1	24.8	0.25	24	1.2	8.3	0.11	1.66	1.76	29.5	
2007/6/3	30	¯ä®ñ	¨}¦n	0.9	6.3	26.7	0.22	26	1.6	7.9	0.06	1.64	1.7	29.9	
2007/6/4	45	¯ä®ñ	¨}¦n	1.1	11.6	30.1	0.46	28	2.2	13.8	0.24	1.7	1.94	28.9	
2007/6/5	34	¯ä®ñ	¨}¦n	3.1	18.3	21.2	0.59	33	8.1	26.4	0.34	1.75	2.09	27.3	
2007/6/6	34	¯ä®ñ	¨}¦n	2.1	17.9	17.4	0.79	29	12.9	30.7	0.45	1.78	2.23	26.3	
2007/6/7	28	Äa¯B·L²É	¨}¦n	2.4	20	16	0.69	28	6.6	26.6	0.4	1.73	2.13	25.8	
2007/6/8	26	¯ä®ñ	¨}¦n	2.2	14.7	17.6	0.46	26	4.9	19.6	0.25	1.71	1.96	26	
2007/6/9	25	¯ä®ñ	¨}¦n	2.4	15.6	19.4	0.67	22	11.3	26.9	0.35	1.73	2.08	25.5	
2007/6/10	34	¯ä®ñ	¨}¦n	3.6	10.7	17.9	0.43	31	7.5	18.2	0.19	1.69	1.88	27.2	
2007/6/11	32	¯ä®ñ	¨}¦n	3.9	12.4	19.3	0.38	27	5.4	17.8	0.18	1.73	1.91	26.9	
2007/6/12	24	¯ä®ñ	¨}¦n	2.4	16.3	18.2	0.45	21	3.8	20.1	0.22	1.75	1.97	25.6	
2007/6/13	42	¯ä®ñ	¨}¦n	3.8	16	20.7	0.48	29	7.4	23.4	0.26	1.78	2.05	28.2	
2007/6/14	26	¯ä®ñ	¨}¦n	2.7	9.8	18.3	0.34	25	5.5	15.3	0.15	1.67	1.82	29.3	
2007/6/15	30	¯ä®ñ	¨}¦n	3.6	14.4	15.3	0.71	30	16.8	31.2	0.41	1.73	2.14	27.6	
2007/6/16	88	¯ä®ñ	´¶³q	4.4	11.5	30.6	0.45	37	10.3	21.8	0.26	1.72	1.98	28.4	
2007/6/17	98	¯ä®ñ	´¶³q	6.2	17.6	50.6	0.48	48	2.1	19.7	0.2	1.81	2.01	29	
2007/6/18	62	¯ä®ñ	´¶³q	3.9	15.2	43.9	0.48	49	1	16.2	0.19	1.73	1.92	29.7	
2007/6/19	69	¯ä®ñ	´¶³q	3.4	12	49.4	0.42	43	1.1	13.1	0.16	1.74	1.9	30	
2007/6/20	68	¯ä®ñ	´¶³q	3.1	14.1	40.9	0.47	39	1.5	15.6	0.21	1.73	1.94	29.6	
2007/6/21	48	¯ä®ñ	¨}¦n	2.2	11	37.4	0.36	36	1.5	12.5	0.15	1.69	1.84	30.2	
